codigo;nombre;precio_compra;precio_unitario;id_proveedor
00061604;Sist. autonomo p/dicroled 5w gu10;4;48233.87;1
00061609;Sist. autonomo p/dicro led c/bat litio 16w;1;17329.93;1
00061610;Sist. autonomo p/panel led c/bat litio 3-100w;6;118233.28;1
00062020LED;Luz de emergencia 60 led 12hs bat. acido-plomo;12;141426;1
00062020LED-LI;Luz de emergencia 60 led c/bateria de litio;259;3355551.07;1
00062028LED;Luz de emergencia 30 led 24/18hs bat. acido-plomo;1;14052.61;1
00062045LED-LI;Luz de emergencia ultracompacta 42 led bat. litio;30;326293.55;1
00063725;Bateria litio 3.7v;33;98687.98;1
00068091LED;Equipo auton.2 faros 60 led c/bat.aut.5hs.;7;680726.03;1
00068091LEDHEAVY;Equipo auton.2 faros 90w c/u led c/bat.aut.5hs.;1;142438.66;1
00069905L SLIM-S;Señ. led 220v ni-cd marco bco salida slim;0;0;1
00069905L SLIM-SE;Señ. led 220v ni-cd marco bco salida emerg slim;14;132502.25;1
00069905L-S;Señ. led 220v ni-cd marco bco salida;11;193357.9;1
00069905L-SE;Señ. led 220v ni-cd marco bco salida emerg;8;158805.5;1
00069905L-SEI;Señ. led 220v ni-cd marco bco sal.emerg.izq;0;0;1
0006R1000@;Estab.atomlux linea r 1000va 6x220v;17;309645.75;1
0006R500@;Estab.atomlux linea r 500va 6x220v;3;45315.64;1
0008109752;Interruptor compacto tripolar 63amp 3p. icu= 18 ka;1;72405.07;1
0012102.255.30.02;Ficha macho 2 patas chatas salida lateral negra;43;14013.8;1
0012102.255.30.05;Ficha macho 2 patas chatas salida lateral marfil;242;68936.76;1
0012103.273.22.02;Ficha macho 3 patas salida trasera c/traba negra;981;378506.45;1
0012103.273.22.05;Ficha macho 3 patas salida trasera c/traba marfil;307;130742.16;1
0012103.283.22.02;Ficha macho 3 patas 10a redonda giratoria negra;16;5228.24;1
0012103.283.22.05;Ficha macho 3 patas 10a redonda giratoria marfil;133;49234.73;1
0012103.283.30.02;Ficha macho 3 patas 10a redonda giratoria negra;3;1338.59;1
0012103.285.30.02;Ficha macho perno chato 20a. alto consumo negra;6;3987.6;1
0012103.285.30.05;Ficha macho perno chato 20a. alto consumo marfil;72;53017.86;1
0012115.250.22.05;Perilla velador 4a. marfil;284;56400.67;1
0012115.256.22.05;Perilla velador 2a. marfil;9;1823.73;1
0012125.267.22.02;Ficha hembra 3 patas puras 10a sal.trasera negra;502;172961.14;1
0012125.267.22.05;Ficha hembra 3 patas puras 10a sal.trasera marfil;109;41916.83;1
0012125.277.22.02;Ficha hembra 3 patas 10a sal.tras comb. negra;10;3330.97;1
0012125.277.22.05;Ficha hembra 3 patas 10a sal.tras comb.marfil;7;2485.77;1
0012125.287.22.02;Ficha hembra 3 patas puras 10a red.girat. negra;16;3766.3;1
0012125.287.22.05;Ficha hembra 3 patas puras 10a red.girat. arfil;201;57073.53;1
0012126.310.30.05;Modulo emb.toma con neutro 10a marfil;3;1628.63;1
0012127.450.22.05;Zap.binorma 2 tomas sin cable sin termico;107;140318.99;1
0012127.455.22.05;Zap.mononorma 2 tomas sin cable sin termico;61;66988.91;1
0012127.500.61.05;Zap.mononorma 5 tomas con termico y sin cable;12;31287.51;1
0012127.510.61.05;Zap.binorma 5 tomas con termico y sin cable;44;113334.9;1
0012138.541.61.05;Zap.mononorma 4 tomas richi c/termico 1.5mt cable;1;2914.81;1
0012138.551.61.05;Zap.mononorma 5 tomas con termico y cable 1.5 mt;42;155292.18;1
0012138.552.61.05;Zap.mononorma 5 tomas con termico y cable 2.5 mt;20;77698.33;1
0012138.554.61.05;Zap.mononorma 5 tomas con termico y cable 5 mt;20;83142.48;1
0012138.561.61.05;Zap.binorma 4 tomas richi c/termico 1.5mt cable;2;7835.08;1
0012138.571.61.05;Zap.binorma 5 tomas con termico y cable 1.5 mt;43;161594.82;1
0012138.572.61.05;Zap.binorma 5 tomas con termico y cable 2.5 mt;52;200354.51;1
0012138.574.61.05;Zap.binorma 5 tomas con termico y cable 5 mt;17;86635.66;1
0012140.034.30.01;Zoc.flexible c/chicote simple apto led x unidad;141;29701.13;1
0012140.120.30.01;Juego zocalo 105w;12;8775.57;1
0012140.575.30.01;Juego zocalo 105w  cableado;3;3814.02;1
0012214.110.22.01;Interruptor unipolar 6A BL;145;29248.39;1
0012214.130.22.01;Interruptor unipolar inversor 6A BL;22;8734.23;1
0012214.130.30.01;Interruptor unipolar inversor 6A BL;4;1856.67;1
0012214.140.22.01;Interruptor pulsador unipolar 6A BL;1;275.24;1
0012216.121.30.01;Medio modulo +1/2 cierre quantum punto blanco;1;348.01;1
0012216.122.30.01;Medio modulo quantum punto blanco;2;1199.72;1
0012226.020.22.01;Tomacorriente 20A BL;1;590.82;1
0012226.020.30.01;Modulo quantum toma c/n 20a.blanco;6;4064.91;1
0012226.025.30.01;Modulo quantum toma c/n 10a.blanco;121;26687.62;1
0012226.025.30.02;Modulo quantum toma c/n 10a.gris;1;214.09;1
0012226.030.30.01;Modulo quantum toma c/n comb.10a.blanco;49;10880.34;1
0012226.034.30.01;Modulo toma c/n comb.10a. doble blanco;47;37261.4;1
0012226.035.30.01;Modulo toma c/n 10a. doble blanco;166;136872.75;1
0012230.410.50.01;Modulo quantum rj45 blanco;3;8391.95;1
0012252.101.22.01;Tapon ciego Simple BL;8;254.62;1
0012252.101.30.01;Modulo quantum tapon blanco;305;11414.35;1
0012252.101.30.02;Modulo quantum tapon gris;1;35.57;1
0012252.111.22.04;Bastidor quantum 1 modulo mignon;8;718.45;1
0012252.113.22.04;Bastidor quantum 3 modulos rectangular;412;41798.12;1
0012252.121.30.00;Adaptador din para modulos quantum;10;1288.3;1
0012252.133.30.04;Bastidor geo 3 modulos rectangular;10;1662.53;1
0012255.210.51.01;Tapa quantum era 1 modulo blanca mignon;8;1029;1
0012255.230.51.01;Tapa quantum era 3 modulos blanca;370;52066.91;1
0012257.403.22.01;Frente estanco para caja rect. 3 mod.;7;6844.2;1
0012257.453.22.01;Caja sup.c/frente estanco 3 mod.;10;22682.2;1
0012276.020.22.01;Base ext.toma con neutro 20a;82;86229.25;1
00141311;Int. bipolar 6 amp. soldar;2;751.68;1
00205502;Terminal laton 436 pala hembra 6.3;1710;46190.83;1
00205503;Terminal laton 624 bandera pala hembra  6.3;4;142.09;1
00205506;Terminal laton 790 pala macho 6.3;1508;35543.27;1
00205513;Terminal laton 517 pala hembra 6.3 c/traba;147;5132.32;1
00205514;Terminal laton 830 pala macho 6.3 c/traba;19;474.04;1
00205529;Terminal laton ojal 1250 5.2 / 9.8;60;1769.26;1
00205533;Terminal laton horquilla 1350 4.2;200;2918.92;1
00205542;Aislacion  p/terminal sin traba pala hembra 6.3;500;8899.92;1
00205543;Aislacion  p/terminal sin traba pala macho 6.3;500;8474.05;1
00205544;Terminal laton cilindrico hembra 1054 2.3;6;73.09;1
00205549;Terminal laton 436b pala hembra 10.3;100;11228.86;1
0020A13;Terminal rojo pin largo 9.9;200;6776.37;1
0020AE-1;Plaq.p/term.alum.10-16-25mm2 agu.9;150;75409.71;1
0020AN3204;Terminal de potencia ojal 10mm² m6 3074;5;1509.92;1
0020B15;Terminal azul pin largo 9.9;200;7507.37;1
0020C4;Terminal amar. redondo 6;200;13155.46;1
0020C9-01;Grampa para tierra 6/50;4;8949.19;1
0020CCD120;Conector en c;200;650464;1
0020CCD150;Conector en c;20;91900;1
0020CCD35;Conector en c;50;36525.35;1
0020CCD50;Conector en c;60;70855.83;1
0020CCD70;Conector en c;150;145600.35;1
0020CCD95;Conector en c;120;166618.87;1
0020CCG-3;Conector en g;15;70110.39;1
0020CCG-5;Conector en g;12;58573.3;1
0020CDE;Morseto deriv. estanco 16/95 a 4/35 alum;124;106131.61;1
0020CDE-A;Morseto deriv. estanco 16/95 a 4/35 alum;6;5947.98;1
0020CDE-C;Morseto deriv. estanco 16/95 a 4/35 cobre;4;5306.56;1
0020CMP120;"Terminal placa angosta 120mm ojal 3/8""";50;139474.8;1
0020CMP95;"Terminal placa angosta 95mm ojal 3/8""";50;98922.58;1
0020CTN10;Terminal tif c/aislacion 10mm²;100;3823.26;1
0020CTN2.5;Terminal tif c/aislacion 2.50mm²;600;9657.99;1
0020CTN4;Terminal tif c/aislacion 4mm²;300;6717.78;1
0020CTN6;Terminal tif c/aislacion 6mm²;220;6171.01;1
0020E1;Conector para derivacion lct rojo;12;693.42;1
0020E2;Conector para derivacion lct azul;254;11742.08;1
0020E3;Conector para derivacion lct amarillo;32;2371.04;1
0020F-63;Fusible tipo neozed de 63a;-120;-44427.6;1
0020G1-01;Grampa para tierra g1-01 10/35mm²;50;45285.45;1
0020G1-02;Grampa para tierra g1-02 50/95mm²;9;12763.26;1
0020GD-1;Grampa dentada bronce gd-1 6/25mm²;17;27899.62;1
0020GD-2;Grampa dentada bronce gd-2 16/50mm²;6;10471.06;1
0020GD-3;Grampa dentada bronce gd-3 25/70mm²;10;30678.54;1
0020HM-1;Pinza hm-1 p/identar.pelar.cortar;3;20300.21;1
0020HM-5;Pinza hm5 p/identar 1.5-10mm;5;34141;1
0020LY-05H;Pinza comprime conector para coaxil;1;30745.31;1
0020LY-25-3;Pelacable rango ø28/35mm;3;43358.31;1
0020LY-332;Pelacable para coaxil giratorio;1;11736.17;1
0020PKD-14;Morseto derivacion bim.aislado 25/95 a 4/16;135;104876.7;1
0020PKD-16;Morseto deriv. estanco 25/95 a 25/95 aluminio;39;37779.43;1
0020PKD-16A;Morseto deriv. estanco 25/95 a 25/95 aluminio;31;35861.12;1
0020PKD-20;Pinza de anclaje hasta 4x16;100;84327;1
0020PKD-20C;Pinza de anclaje p/concentrico;100;53105.2;1
0020PKD-30160;Abrazadera poste 16cm;12;9229.51;1
0020PKR-30;Abrazadera para poste con escote 12cm;100;221849.2;1
0020PKR-32;Abrazadera para poste con escote 16cm;50;121487.5;1
0020S160-3;Soporte triple para seccionador de 160A;1;3511.05;1
0020SBT-160T;Seccionador unipolar para fusible NH. hasta 160A.;3;35673.6;1
0020SCA300;"Terminal sca alum.300mm2 5/8""";16;32336.8;1
0020SCB120;Terminal scb bimetal.120mm2;8;30106.8;1
0020SCB50;Terminal scb bimetal.50mm2;10;15749.4;1
0020SCB70;Terminal scb bimetal.70mm2;3;6511.38;1
0020SCC1.5/3;"Terminal cobre scc 1.5 mm² ø3/16""";340;26542.99;1
0020SCC10/1;"Terminal cobre scc 10 mm² ø3/16""";160;39318.07;1
0020SCC10/2;"Terminal cobre scc 10 mm² ø1/4""";1488;344462.21;1
0020SCC10/3;"Terminal cobre scc 10 mm² ø5/16""";1754;422092.24;1
0020SCC120/0;"Terminal cobre scc 120 mm² ø3/8""";7;26216.65;1
0020SCC120/1;"Terminal cobre scc 120 mm² ø1/2""";18;39063.72;1
0020SCC120/2;"Terminal cobre scc 120 mm² ø5/8""";63;128006.81;1
0020SCC150/0;"Terminal cobre scc 150 mm² ø3/8""";125;332108.04;1
0020SCC150/1;"Terminal cobre scc 150 mm² ø1/2""";46;138333.6;1
0020SCC150/2;"Terminal cobre scc 150 mm² ø5/8""";8;24107.62;1
0020SCC16/1;"Terminal cobre scc 16 mm² ø1/4""";436;146838.98;1
0020SCC16/2;"Terminal cobre scc 16 mm² ø5/16""";1517;471298.87;1
0020SCC16/3;"Terminal cobre scc 16 mm² ø3/8""";550;175917.02;1
0020SCC185/0;"Terminal cobre scc 185 mm² ø3/8""";15;56031.81;1
0020SCC185/1;"Terminal cobre scc 185 mm² ø1/2""";20;57353.28;1
0020SCC185/2;"Terminal cobre scc 185 mm² ø5/8""";26;94054.8;1
0020SCC2.5/1;"Terminal cobre scc 2.5 mm² ø5/32""";571;36572;1
0020SCC2.5/2;"Terminal cobre scc 2.5 mm² ø3/16""";3470;266615.98;1
0020SCC240/1;"Terminal cobre scc 240 mm² ø1/2""";93;558251.7;1
0020SCC240/2;"Terminal cobre scc 240 mm² ø5/8""";59;299890.7;1
0020SCC25/1;"Terminal cobre scc 25 mm² ø1/4""";224;82538.35;1
0020SCC25/2;"Terminal cobre scc 25 mm² ø5/16""";525;178543.13;1
0020SCC25/3;"Terminal cobre scc 25 mm² ø3/8""";310;109179.25;1
0020SCC25/4;"Terminal cobre scc 25 mm² ø1/2""";53;19027.57;1
0020SCC300/2;"Terminal cobre scc 300 mm² ø5/8""";16;132265.23;1
0020SCC35/0;"Terminal cobre scc 35 mm² ø1/4""";12;6716.43;1
0020SCC35/1;"Terminal cobre scc 35 mm² ø5/16""";529;285912.46;1
0020SCC35/2;"Terminal cobre scc 35 mm² ø3/8""";384;197912.87;1
0020SCC35/3;"Terminal cobre scc 35 mm² ø1/2""";559;343358.46;1
0020SCC4/1;"Terminal cobre scc 4 mm² ø5/32""";360;30127.27;1
0020SCC4/2;"Terminal cobre scc 4 mm² ø3/16""";1507;134457.15;1
0020SCC50/0;"Terminal cobre scc 50 mm² ø1/4""";20;15149.88;1
0020SCC50/1;"Terminal cobre scc 50 mm² ø5/16""";96;65982.68;1
0020SCC50/2;"Terminal cobre scc 50 mm² ø3/8""";203;146201.35;1
0020SCC50/3;"Terminal cobre scc 50 mm² ø1/2""";173;130903.27;1
0020SCC6/1;"Terminal cobre scc 6 mm² ø3/16""";161;16783.88;1
0020SCC6/2;"Terminal cobre scc 6 mm² ø1/4""";2178;259204.4;1
0020SCC70/0;"Terminal cobre scc 70 mm² ø5/16""";136;144537.33;1
0020SCC70/1;"Terminal cobre scc 70 mm² ø3/8""";165;184825.58;1
0020SCC70/2;"Terminal cobre scc 70 mm² ø1/2""";622;705814.95;1
0020SCC70/3;"Terminal cobre scc 70 mm² ø5/8""";15;18638.24;1
0020SCC95/0;"Terminal cobre scc 95 mm² ø3/8""";91;152330.77;1
0020SCC95/1;"Terminal cobre scc 95 mm² ø1/2""";170;262353.31;1
0020TEC3;Empalme conito tec3 hasta 2x2.5;100;5372.89;1
0020UCA35;Union uca alum.35mm2;2;208.83;1
0020UCA70;Union uca alum.70mm2;4;816.67;1
0020UCC1.5;Union cobre ucc 1.5;168;26048.64;1
0020UCC10;Union cobre ucc 10;867;181283.53;1
0020UCC120;Union cobre ucc 120;50;98681.66;1
0020UCC150;Union cobre ucc 150;2;5450.29;1
0020UCC16;Union cobre ucc 16;368;97405.15;1
0020UCC2.5;Union cobre ucc 2.5;649;67329.12;1
0020UCC240;Union cobre ucc 240;1;5285.9;1
0020UCC25;Union cobre ucc 25;176;53194.5;1
0020UCC35;Union cobre ucc 35;46;22108.93;1
0020UCC4;Union cobre ucc 4;603;68069.84;1
0020UCC50;Union cobre ucc 50;19;14782.33;1
0020UCC6;Union cobre ucc 6;1294;147879.18;1
0020UCC95;Union cobre ucc 95;17;21397.41;1
0021A3;Fuente onda completa exterior;2;22557.45;1
0022BD21;"Boquilla aluminio delga r.e.3/4""";540;52216.09;1
0022BD31;"Boquilla aluminio delga r.e.1""";20;3063.34;1
0022BD53;"Boquilla aluminio delga r.g.1 1/2""";40;28621.4;1
0022BD78;"Boquilla aluminio delga r.e.7/8""";36;4426.75;1
0022BDN33;"Boq. alum. c/neutro y torn. fijacion 1""  g";300;471308.6;1
0022BDN53;"Boq. alum. c/neutro y torn. fijacion 1 1/2""  g";300;566155.85;1
0022BDN63;"Boq. alum. c/neutro y torn. fijacion 2""  g";300;747155.1;1
0022EXGUAL27;Caja redonda exgual27;8;62418.04;1
0022EXPO3037;"Tapon ape 1"" npt";8;14788.71;1
0022EXREF2717;"Reduccion m-h 3/4 - 1/2"" ape";15;47212.24;1
0022EXREF3727;"Reduccion m-h 1 - 3/4"" ape";10;39419.54;1
0022EXUMBHH27;Union doble hh 3/4;10;80424.62;1
0022EXUMBHH37;"UNION DOBLE HEMBRA-HEMBRA de HIERRO ZINCADO 1"" NPT";10;104076.13;1
0022THZ13;"Tuerca hierro galvanizado delga r.g.1/2""";5;500.96;1
0022THZ21;"Tuerca hierro zincado delga r.e.3/4""";680;33324.69;1
0022THZ31;"Tuerca hierro zincado delga r.e.1""";20;2329.87;1
0022THZ78;"Tuerca hierro zincado delga r.e.7/8""";36;3339.48;1
0029010;Pulsador lum.completo pulsaluz presion;9;10898.25;1
0029012;Modulo pulsador lum.pulsaluz;60;36061.52;1
0029014;Bastidor para 1 modulo pulsaluz;60;18530.51;1
0029016;Tapa 1 punto pulsaluz;52;16085.99;1
00297001E;Automatico escalera 7001 esa electronico;5;47693.94;1
0029AE10;Aut.pulsaluz elect.general;3;26472.15;1
0029AE1200;Aut.pulsaluz elect.ind.c/fus+regul+rele;63;397568.32;1
00341PF1;"Pararrayo 1 puntas c/base 1"" p/mastil";40;2151800.84;1
00345PF3/4;Pararrayo 5 puntas c/base 3/4 p/mastil;5;265441.69;1
0034A1615-250;Jabalina iram 2309 acoplada-16 5/8 x 1.5 metros;6;66819.72;1
0034A1815-250;Jabalina iram 2309 acoplada-18 3/4 x 1.5 metros;5;63711.41;1
0034AO/CU35;Cable acero-cobre 35mm;280;739641.88;1
0034AO/CU50;Cable acero-cobre 50mm;500;1987040.75;1
0034AO/CU95;Cable acero-cobre 95mm;338;2549954.84;1
0034C150;Carga 150;12;103839.32;1
0034C45;Carga 45;10;31546.17;1
0034C90;Carga 90;81;431841.17;1
0034CAJACH;Caja inspeccion para jabalina 15x15x6;10;74869.59;1
0034CAJAL;Caja inspeccion para jabalina 25x25x4;23;330087.63;1
0034CAJAP;Caja inspeccion para jabalina 25x25x10;2;35952.26;1
0034GRC-1250;Molde GRC-1250;1;127187.11;1
0034L1010-250;Jabalina iram 2309 lisa-10 3/8 x 1 metro;163;579679.07;1
0034L1015-250;Jabalina iram 2309 lisa-10 3/8 x 1.5 metros;47;260688.02;1
0034L1415-250;Jabalina iram 2309 lisa-14 1/2 x 1.5 metros;66;540662.9;1
0034L1420-250;Jabalina iram 2309 lisa-14 1/2 x 2 metros;9;96665.28;1
0034L1615-250;Jabalina iram 2309 lisa-16 5/8 x 1.5 metros;43;386758.49;1
0034L1620-250;Jabalina iram 2309 lisa-16 5/8 x 2 metros;4;46123.33;1
0034L1630-250;Jabalina iram 2309 lisa-16 5/8 x 3 metros;3;56534.13;1
